"Open Seat ID","Client Name","Open Seat Title","Est Strt Dt","Candidate Track Type","Fulfillment Action","Fieldglass Flag","Flags"
"5675463","AMKOR TECHNOLOGY INC.","SAP BTP In App+Developer Extensibil","2026-08-31T04:57:13.153Z","Actively recruiting","External hire","","Comment Non Compliant"
"5675464","AMKOR TECHNOLOGY INC.","SAP BTP In App+Developer Extensibil","2026-08-31T04:57:13.153Z","Actively recruiting","External hire","","Comment Non Compliant"
"5678402","BROTHER INTERNATIONAL CORP","Package Specialist- SAP HANA FIN FI","2026-05-25T04:57:13.218Z","Project team reviewing candidates","Bench/Rolloff","","EST Non Compliant"
"5695574","LEGRAND HOLDING INC.","ABAP Lead Developer","2026-09-07T04:57:13.368Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5695576","LEGRAND HOLDING INC.","ABAP Developer 1","2026-09-07T04:57:13.369Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5696745","FLIR SYSTEMS INC","Lead Tosca Consultant","2026-07-13T04:57:13.383Z","Project team reviewing candidates","Contractor","Y","Comment Non Compliant"
"5696756","FLIR SYSTEMS INC","Senior Tosca Consultant","2026-07-13T04:57:13.383Z","Not urgent - ongoing search","Contractor","Y","Comment Non Compliant"
"5696767","FLIR SYSTEMS INC","Senior Tosca Consultant","2026-08-01T04:57:13.383Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5697986","MOHAMMED ALI AL-SWAILEM CO.LTD..","SAP SCM MM Consultant - For Anilkum","2026-07-20T04:57:13.388Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5697987","MOHAMMED ALI AL-SWAILEM CO.LTD..","SAP FICO Consultant - For Dwijen Bh","2026-02-08T04:57:13.388Z","Project team reviewing candidates","Bench/Rolloff","","EST Non Compliant"
"5699733","ESSAR OIL UK LIMITED","ABAP Consultant","2026-08-31T04:57:13.584Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5699734","ESSAR OIL UK LIMITED","ABAP Remediation","2026-08-31T04:57:13.584Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5699741","ESSAR OIL UK LIMITED","ABAP Consultant","2026-08-31T04:57:13.585Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5699749","ESSAR OIL UK LIMITED","SAP Analytics Consultant - Offshore","2026-08-19T04:57:13.587Z","Actively searching","Bench/Rolloff","","Comment Non Compliant"
"5699759","ESSAR OIL UK LIMITED","SAP IS Oil Consultant (MM+TDP)","2026-08-20T04:57:13.589Z","Actively searching","Bench/Rolloff","","Comment Non Compliant"
"5699767","ESSAR OIL UK LIMITED","SAP Analytics Architect - Offshore","2026-08-18T04:57:13.590Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5699777","ESSAR OIL UK LIMITED","Test  and  Defect Manager","2026-08-03T04:57:13.591Z","Roll-off being pursued","Validation in process","","Comment Non Compliant"
"5704283","Toyota Motor North America","Node JS developer(VCG)","2026-08-31T04:57:13.655Z","Actively recruiting","External hire","N","Comment Non Compliant"
"5706126","Shell Oil","SAP ESM FRUN alongwith BASIS","2026-08-03T04:57:13.666Z","Contractor being pursued - core skill","Contractor","N","Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5710588","Shell Oil","Kinaxis consultant","2026-07-28T04:57:13.742Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5720183","Ericsson AB","PMIS-Interns","2026-08-03T04:57:13.849Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5720184","Ericsson AB","PMIS-interns","2026-08-03T04:57:13.849Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5720185","Ericsson AB","PMIS-interns","2026-08-03T04:57:13.849Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5723173","BP INTERNATIONAL LTD","RR-06420	Jr Analyst 1","2026-08-03T04:57:13.899Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5723174","BP INTERNATIONAL LTD","RR-06421	Jr Analyst 1","2026-08-03T04:57:13.899Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5726706","Shell Oil","Technical Support Representative-Hy","2026-08-03T04:57:13.963Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5726905","Bombardier Aerospace","SAP Project Manager","2026-08-04T04:57:13.966Z","Actively recruiting","External hire","","Comment Non Compliant"
"5728079","Pentair Management Company","BF ATT 5674656 Avinash Illur 0025DY","2026-07-10T04:57:13.988Z","Contractor being pursued - core skill","External hire","Y","EST Non Compliant"
"5729085","Bombardier Aerospace","PMIS 1_ABAP","2026-08-16T04:57:13.997Z","Contractor being pursued - core skill","Bench/Rolloff","","Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729242","Bombardier Aerospace","PMIS 2_ABAP","2026-07-06T04:57:14.001Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729250","Bombardier Aerospace","PMIS 3_Basis","2026-07-06T04:57:14.001Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729253","Bombardier Aerospace","PMIS 4_Basis","2026-07-07T04:57:14.001Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729258","Bombardier Aerospace","PMIS 5_Basis","2026-07-06T04:57:14.001Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729271","Airbus","PMIS 1","2026-07-06T04:57:14.001Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729273","Husky Energy","PMIS - Package Consultant-SAP HANA ","2026-08-03T04:57:14.002Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5729274","Airbus","PMIS 2","2026-07-06T04:57:14.002Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729277","Airbus","PMIS 3","2026-07-06T04:57:14.002Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729282","PLAINS ALL AMERICAN PIPELINE LP","PMIS - Application Developer-Micros","2026-08-03T04:57:14.002Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5729284","PLAINS ALL AMERICAN PIPELINE LP","PMIS - Application Developer-Micros","2026-08-03T04:57:14.002Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5729288","Airbus","PMIS 4","2026-07-06T04:57:14.003Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729354","Atlas Copco","PMIS - Support","2026-07-06T04:57:14.004Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729355","EPIROC","PMIS - Support","2026-07-06T04:57:14.004Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5729356","EPIROC","PMIS - Support","2026-07-06T04:57:14.005Z","Contractor being pursued - core skill","Contractor","","EST Non Compliant | Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5731165","CLARK EQUIPMENT CO","Clark-Bobcat - PMA","2026-08-03T04:57:14.313Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5731556","JET Tankstellen Deutschland GmbH","Data Migration Consultant","2026-03-08T04:57:14.318Z","Actively searching","Bench/Rolloff","","EST Non Compliant | Comment Non Compliant"
"5732206","Micron Technology Inc","PMIS","2026-07-06T04:57:14.340Z","Roll-off being pursued","Contractor","","EST Non Compliant | Comment Non Compliant"
"5732209","Micron Technology Inc","PMIS","2026-07-06T04:57:14.340Z","Roll-off being pursued","Contractor","","EST Non Compliant | Comment Non Compliant"
"5732232","BP INTERNATIONAL LTD","RR-06147 - DevOps Engineer 1","2026-07-06T04:57:14.341Z","Roll-off being pursued","Bench/Rolloff","N","EST Non Compliant"
"5732235","JUNIPER United States","PMIS","2026-07-06T04:57:14.341Z","Roll-off being pursued","Contractor","","EST Non Compliant | Comment Non Compliant"
"5732279","Hubs Inc.","PMIS","2026-07-06T04:57:14.342Z","Roll-off being pursued","Contractor","","EST Non Compliant | Comment Non Compliant"
"5732281","Hubs Inc.","PMIS","2026-07-06T04:57:14.342Z","Roll-off being pursued","Contractor","","EST Non Compliant | Comment Non Compliant"
"5732646","Arkema","Application Developer-SAP ABAP HANA","2026-07-16T04:57:14.393Z","Project team reviewing candidates","Bench/Rolloff","N","Comment Non Compliant"
"5733026","Celestica Inc.","PMIS - SAP Security","2026-08-03T04:57:14.397Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5733870","BP INTERNATIONAL LTD","RR-06446	Jr Analyst 3","2026-08-03T04:57:14.422Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5734552","GAF MATERIALS CORP","CPI-DS Consultant","2026-07-22T04:57:14.449Z","Actively recruiting","Challenged Seat - fulfillment delay accepted","N","Mismatch in Track Type vs Fulfillment Action"
"5734607","THE BOEING CO","Boeing - SAP Test Automation","2026-08-03T04:57:14.450Z","Roll-off being pursued","Contractor","","Comment Non Compliant"
"5734773","CAF","SAP Developer /EWM Module skills","2026-07-15T04:57:14.452Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5734776","CAF","SAP Developer /QM and PM Modules sk","2026-07-20T04:57:14.453Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5736825","ROLLS ROYCE PLC","12.1 - PMO Administrator","2026-07-31T04:57:14.491Z","Contractor being pursued - core skill","Contractor","N","Mismatch in Track Type vs Fieldglass"
"5737225","Brother International","E-Invoicing Functional","2026-07-31T04:57:14.504Z","Actively recruiting","Bench/Rolloff","Y","Comment Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5738683","TECHNIPNET","Application Developer-Microsoft .NE","2026-08-31T04:57:14.528Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5738714","TECHNIPNET","Dot net fullstack","2026-08-31T04:57:14.529Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5740196","Atlas Copco","BF ATT 5564726 2026-06-17 ammineni.","2026-07-31T04:57:14.570Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5740364","Toyota Motor North America","Sr Node JS Developer for GPS","2026-08-31T04:57:14.571Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5740411","VENTIA AUSTRALIA PTY LTD","DCS_B009_SAP BTP Consultant 8","2026-07-06T04:57:14.573Z","Roll-off being pursued","External hire","","EST Non Compliant | Comment Non Compliant"
"5740433","Medtronic INC","SAP ITO : Workday Extend Developer","2026-07-30T04:57:14.575Z","Not urgent - ongoing search","Bench/Rolloff","N","Comment Non Compliant"
"5740443","Toyota Motor North America","Sr Node JS Developer for   Global F","2026-08-31T04:57:14.576Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5741032","Toyota Motor North America","Node JS Developer for GPS","2026-08-31T04:57:14.588Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5741038","Toyota Motor North America","Sr Data  scientist for GPS","2026-08-06T04:57:14.588Z","Contractor being pursued - core skill","External hire","N","Mismatch in Track Type vs Fieldglass"
"5741042","Toyota Motor North America","Dev-ops for GPS","2026-08-03T04:57:14.588Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5741046","Toyota Motor North America","Tester for GPS","2026-08-03T04:57:14.588Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5741048","Toyota Motor North America","Node JS Developer for Global FSO","2026-08-31T04:57:14.589Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5741049","Toyota Motor North America","Node JS Developer for Global FSO","2026-08-31T04:57:14.589Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5741053","Toyota Motor North America","Sr Tester for  Global FSO","2026-08-03T04:57:14.590Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5744530","BROTHER INTERNATIONAL CORP","Package Specialist - SAP HANA analy","2026-06-22T04:57:14.904Z","Roll-off being pursued","Bench/Rolloff","","EST Non Compliant"
"5746440","CAF","SAP Developer /EWM Module skills","2026-07-09T04:57:14.955Z","Project team reviewing candidates","Bench/Rolloff","","EST Non Compliant"
"5747113","AECON CONSTRUCTION GROUP INC","Integration Consultant","2026-08-31T04:57:15.002Z","Project team reviewing candidates","Bench/Rolloff","N","Comment Non Compliant"
"5749206","TOYOTA CANADA INC.","BF ATT 5610229 26/07/2026 saurabh.k","2026-08-03T04:57:15.132Z","Roll-off being pursued","Bench/Rolloff","N","Comment Non Compliant"
"5749271","JET Tankstellen Deutschland GmbH","Data Migration Lead","2026-08-25T04:57:15.139Z","Actively searching","Bench/Rolloff","","Comment Non Compliant"
"5749896","NAVBLUE SAS","L1_24X7_Techinical Support Analyst","2026-07-31T04:57:15.190Z","Candidate identified","Contractor","Y","Comment Non Compliant"
"5750728","W L GORE & ASSOCIATES","BF ROL 5417349 15-06-26 Bankim Ghos","2026-07-31T04:57:15.225Z","Contractor being pursued - core skill","Contractor","N","Comment Non Compliant | Mismatch in Track Type vs Fieldglass"
"5751608","Orano","Project Manager-SAP","2026-08-04T04:57:15.279Z","GR being pursued","Bench/Rolloff","","Comment Non Compliant"
"5752995","Heidelberg Cement AG","Package Specialist-SAP FIN CO","2026-06-29T04:57:15.337Z","Project team reviewing candidates","Bench/Rolloff","","EST Non Compliant"
"5755748","Toyota Motor North America","Sr Data Engineer for   Global FSO","2026-08-03T04:57:15.553Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5756114","AMKOR TECHNOLOGY INC.","IBP & Data Integration (CI-DS):","2026-07-06T04:57:15.731Z","New hire identified - awaiting start","External hire","Y","EST Non Compliant"
"5758626","BP INTERNATIONAL LTD","RR-06590	CLI-SAP BW Datasphere Cons","2026-08-23T04:57:15.871Z","Roll-off being pursued","Bench/Rolloff","Y","Comment Non Compliant"
"5759840","CAF","SAP HANA Basis","2026-07-21T04:57:15.959Z","Roll-off being pursued","External hire","","Comment Non Compliant"
"5759841","CAF","SAP HANA Basis","2026-07-30T04:57:15.959Z","Roll-off being pursued","External hire","","Comment Non Compliant"
"5760642","Husky Energy","PMIS - Package Consultant-SAP HR","2026-07-07T04:57:15.976Z","Actively searching","Bench/Rolloff","","EST Non Compliant | Comment Non Compliant"
"5760734","JUNIPER United States","Application Developer- Cloud FullSt","2026-08-19T04:57:15.979Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5763874","Navistar Inc","BF ATT 4991820 2026-07-29 ishwar@ib","2026-07-07T04:57:16.117Z","Actively searching","Bench/Rolloff","","EST Non Compliant"
"5765109","Suncor Energy Inc","HCAM PMP for mdaquib.khan@ibm.com","2026-08-03T04:57:16.185Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5766831","Airbus","Technical Support Representative-Hy","2026-07-14T04:57:16.415Z","Candidate identified","Contractor","Y","Comment Non Compliant"
"5766915","Shell Oil","Application Developer-zOS","2026-07-31T04:57:16.421Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5767090","Micron Technology Inc","Application Developer - Microsoft D","2026-07-31T04:57:16.430Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5767099","Micron Technology Inc","Application Developer - Microsoft D","2026-07-31T04:57:16.431Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5767812","Shell Oil","ServiceNow Event Management Develop","2026-07-13T04:57:16.538Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5768669","Toyota Motor North America","Tester for Global FSO","2026-08-03T04:57:16.587Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5768956","DAIMLER TRUCKS NORTH AMERICA LLC","EWM Offshore Senior Analyst","2026-08-03T04:57:16.600Z","GR being pursued","Bench/Rolloff","Y","Comment Non Compliant"
"5768959","DAIMLER TRUCKS NORTH AMERICA LLC","EWM Offshore Senior Analyst","2026-08-03T04:57:16.600Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5769498","AMKOR TECHNOLOGY INC.","BF ATT 5744673 2026-07-30 kirubakar","2026-07-23T04:57:16.611Z","Project team reviewing candidates","Bench/Rolloff","Y","Comment Non Compliant"
"5769594","Navistar Inc","BF ATT 5459624 2026-08-14 chandra.s","2026-08-31T04:57:16.621Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5770526","Shell Oil","Pricefx certified - Configuration E","2026-07-31T04:57:16.676Z","Actively recruiting","External hire","","Comment Non Compliant"
"5770527","Shell Oil","Pricefx certified - Configuration E","2026-07-31T04:57:16.676Z","Actively recruiting","External hire","","Comment Non Compliant"
"5770528","Shell Oil","Pricefx certified - Configuration E","2026-07-31T04:57:16.677Z","Actively recruiting","External hire","","Comment Non Compliant"
"5770529","Shell Oil","Pricefx certified - Configuration E","2026-07-31T04:57:16.677Z","Actively recruiting","External hire","","Comment Non Compliant"
"5770530","Shell Oil","Pricefx certified - Configuration E","2026-07-31T04:57:16.677Z","Actively recruiting","External hire","","Comment Non Compliant"
"5770725","Medtronic INC","legacy Kronos Workforce Central (WF","2026-07-09T04:57:16.714Z","Roll-off being pursued","Bench/Rolloff","Y","EST Non Compliant"
"5770763","BMW",".Net Developer","2026-07-31T04:57:16.720Z","Not urgent - ongoing search","Bench/Rolloff","","Comment Non Compliant"
"5772695","ABERTIS","SAP Basis Consultant (REF:26593-4)","2026-08-31T04:57:16.876Z","Actively searching","Graduate hire","","Comment Non Compliant"
"5772991","Shell Oil","Application Developer-SAP ABAP HANA","2026-11-02T04:57:16.895Z","Not urgent - ongoing search","Bench/Rolloff","","Comment Non Compliant"
"5773120","BROTHER INTERNATIONAL CORP","Salesforce Data Cloud and Marketing","2026-07-22T04:57:16.913Z","Actively recruiting","Challenged Seat - fulfillment delay offered","Y","Mismatch in Track Type vs Fulfillment Action"
"5773200","VENTIA AUSTRALIA PTY LTD","DCS_B021_DevOps Engineer","2026-07-06T04:57:16.922Z","Project team reviewing candidates","Bench/Rolloff","","EST Non Compliant"
"5773626","Navistar Inc","LN Infor Developer","2026-07-31T04:57:16.968Z","Contractor identified - awaiting start","Contractor","Y","Comment Non Compliant"
"5773722","Celestica Inc.","Threat Locker Specialist","","Actively searching","To Be Validated","Y","EST Non Compliant | Comment Non Compliant"
"5774247","Suncor Energy Inc","SAP HANA BASIS","2026-07-13T04:57:17.198Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5774560","Ericsson AB","Python Developer  (with Informatica","2026-07-31T04:57:17.221Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5774633","Suncor Energy Inc","Mainframe Modernization","2026-08-31T04:57:17.234Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5774867","Suncor Energy Inc","Microsoft .NET Stack","2026-07-31T04:57:17.275Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5774997","Vivo Energy","SF-EC Lead - Jordan Project","2026-07-14T04:57:17.287Z","Roll-off being pursued","Bench/Rolloff","Y","Comment Non Compliant"
"5775473","BMW","AWS Infra Specialist","2026-07-20T04:57:17.306Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5776521","CAF","SAP BPC","","Actively searching","To Be Validated","","EST Non Compliant"
"5776695","Ericsson AB","TC4E - Requirement","2026-07-20T04:57:17.390Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5776862","MM SERVICE GAMBH","BF ROL 5567524 07-27-2026 naresh.ko","2026-08-03T04:57:17.412Z","Actively searching","Contractor","","Comment Non Compliant"
"5776871","Hubs Inc.","Package Consultant-SAP FIN PS-Capit","2026-04-08T04:57:17.414Z","Actively searching","Bench/Rolloff","Y","EST Non Compliant"
"5777556","JUNIPER United States","Package Specialist : SAP HANA SCM P","2026-07-17T04:57:17.547Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5777566","ESSAR OIL UK LIMITED","CALM, Transport, Tech Change Mgmt","2026-08-03T04:57:17.549Z","Actively recruiting","External hire","","Comment Non Compliant"
"5777598","Bombardier Aerospace","SuccessFactors Payroll Consultant","2026-07-21T04:57:17.552Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5777866","BMW","PostgreSQL Developer","2026-07-31T04:57:17.632Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5777895","BMW","Project Manager","2026-07-31T04:57:17.637Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5778629","Bombardier Aerospace","SAP Hana FIN  CO","2026-08-08T04:57:17.717Z","Actively searching","Bench/Rolloff","","Comment Non Compliant"
"5778630","Bombardier Aerospace","SAP Hana FIN  CO","2026-09-08T04:57:17.717Z","Actively searching","Bench/Rolloff","","Comment Non Compliant"
"5778631","Bombardier Aerospace","SAP PLM","2026-07-23T04:57:17.717Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5779059","AMKOR TECHNOLOGY INC.","SAP Cloud Integration","2026-08-31T04:57:17.787Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5779060","AMKOR TECHNOLOGY INC.","SAP Cloud Integration","2026-08-31T04:57:17.787Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5779979","Medtronic INC","RIMAU:SAP OTC Lead - Offshore","2026-08-03T04:57:18.117Z","GR being pursued","Bench/Rolloff","","Comment Non Compliant"
"5780020","Medtronic INC","RIMAU:Offshore SAP Project Manager","2026-08-03T04:57:18.123Z","GR being pursued","Bench/Rolloff","","Comment Non Compliant"
"5780343","BMW AG","rdbms","2026-07-31T04:57:18.153Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5780373","AMKOR TECHNOLOGY INC.","Ariba SCC","2026-08-03T04:57:18.157Z","Project team reviewing candidates","Bench/Rolloff","Y","Comment Non Compliant"
"5780374","AMKOR TECHNOLOGY INC.","Ariba CIG","2026-08-03T04:57:18.157Z","Project team reviewing candidates","Bench/Rolloff","Y","Comment Non Compliant"
"5780386","Medtronic INC","NextGen : Salesforce Tester-3","2026-07-21T04:57:18.159Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5780388","Medtronic INC","NextGen : Salesforce Tester-5","2026-07-21T04:57:18.160Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5780550","Royal Dutch Shell","Automation tester","2026-07-27T04:57:18.174Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5781214","Shell Oil","Project Manager-Hybrid Cloud Manage","2026-08-31T04:57:18.258Z","Candidate identified","Bench/Rolloff","","Comment Non Compliant"
"5781261","Hubs Inc.","Package Consultant SAP Extended EIM","2026-05-08T04:57:18.262Z","Roll-off being pursued","Bench/Rolloff","","EST Non Compliant | Comment Non Compliant"
"5781727","Downer EDI Services PTY LTD","Integration Test Lead","2026-07-27T04:57:18.319Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5781753","Downer EDI Services PTY LTD","Tester","2026-07-27T04:57:18.324Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5781784","Downer EDI Services PTY LTD","Integration Platform ACE Developer","2026-07-31T04:57:18.408Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
"5782105","Volkswagen AG","Data Engineer- Data Integration","2026-07-27T04:57:18.454Z","Actively searching","Bench/Rolloff","Y","Comment Non Compliant"
"5782163","Suncor Energy Inc","Technical Support Representative-Hy","2026-07-27T04:57:18.462Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5782164","Suncor Energy Inc","Technical Support Representative-Hy","2026-07-27T04:57:18.463Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5782168","Suncor Energy Inc","Technical Support Representative-Hy","2026-07-27T04:57:18.463Z","Contractor being pursued - core skill","Contractor","Y","Comment Non Compliant"
"5784238","Arkema","BF ATT 5684917 31-Aug-2026 asanyal2","","Actively searching","To Be Validated","","EST Non Compliant"
"5784911","VENTIA AUSTRALIA PTY LTD","ISM_B032 - ABAP Developer 2","","Roll-off being pursued","To Be Validated","","EST Non Compliant"
"5785955","NOVANTA INC","SAP S/4HANA Implementation     AMS","","Actively searching","To Be Validated","","EST Non Compliant"
"5786368","JUNIPER United States","Package Specialist : SAP HANA SCM M","","Project team reviewing candidates","To Be Validated","","EST Non Compliant"
"5788506","Hubs Inc.","Package Consultant: SAP HANA SCM GT","","Roll-off being pursued","To Be Validated","Y","EST Non Compliant"
"5788719","Saudi Arabian Mining Company","BF ATT 5353168 3/9/26 shreyash.awas","2026-07-30T04:57:19.271Z","Project team reviewing candidates","Bench/Rolloff","","Comment Non Compliant"
